"tourney_name","match_id","surface","name","hand","rank","round","ace","df","svpt","FirstIn","FirstWon","SecondWon","SvGms","bpSaved","bpFaced","winner","diff_ace","diff_df","diff_svpt","diff_1stIn","diff_1stWon","diff_2ndWon","diff_SvGms","diff_bpSaved","diff_bpFaced"
"Rome Masters","2015-416:31","Clay","Guillermo Garcia Lopez","R",-0.382359334791194,"R32",-0.469277583149708,0.40424038477499,-0.601220756940243,-0.959650053639901,-0.799744012624439,-0.439942965511505,-0.865200968691684,-0.646436154164294,-0.589100584505649,1,0.124232179746615,-0.679811064691542,-2.23279133930206,-1.90142053739779,-0.580669086660856,-0.973285421852067,-1.36160323795238,-1.95836195293239,-1.90915240298571
"Memphis","2015-402:24","Hard","Kevin Anderson","R",-0.45365004630482,"QF",1.47079661804783,-1.22511482989293,-1.02915630849682,-0.685278812709413,-0.223872838989716,-0.868371374394807,-0.621077873791126,-0.324442697227697,-0.820562300513846,1,1.32274969712816,-1.0063588284716,-0.509637654224776,0.189823913103293,0.487465128235348,-0.164151817445666,0.00138233831264201,0.253863273484467,-0.176115881770547
"Roland Garros","2015-520:2","Clay","Paolo Lorenzi","R",-0.0642930834227076,"R128",0.662432367548854,0.40424038477499,3.46416698284727,3.4302898012479,3.23135420281862,2.84467483592715,3.52901473951836,0.641537673582094,0.799669711543533,0,-1.07428533763493,-0.0267155371314312,0.639131469160083,0.462594928386044,-0.461987507227945,0.968635228723294,0.00138233831264201,-0.237742332385945,-0.349419533892064
"Delray Beach","2015-499:24","Hard","Marinko Matosevic","R",-0.108164290508016,"R16",-0.954296133449092,-0.410437222558971,-0.993495012533775,-1.28889554275649,-1.30363128955482,-1.29679978327811,-1.10932406359224,-0.00244924029109999,0.568207995535336,0,0.124232179746615,0.62637999042868,-0.0788492329554537,-0.446641789223125,0.131420389936613,-1.45876558449591,0.00138233831264201,0.499666076419673,1.03700968308007
"Buenos Aires","2015-506:9","Clay","Guido Andreozzi","R",0.527968212228956,"R32",-0.630950433249503,-0.410437222558971,-0.957833716570726,-0.849901557267706,-0.727760115920098,-0.72556190476704,-1.10932406359224,-0.324442697227697,-0.820562300513846,1,0.257400792789009,0.299832226648624,0.423737258525422,0.462594928386044,0.962191445966994,0.644981786960734,0.00138233831264201,0.00806047054926132,-0.696026838135097
"Madrid Masters","2015-1536:29","Clay","Rafael Nadal","L",-0.513972956047119,"R32",-1.11596898354889,-1.22511482989293,-1.20746278831206,-0.575530316337218,-0.295856735694056,-1.58241872253364,-0.865200968691684,-1.29042306803749,-1.51494744853844,1,-0.541610885465357,-0.679811064691542,-0.581435724436329,0.00797656958145975,0.368783548802436,-0.164151817445666,-1.36160323795238,-0.483545135321151,-0.869330490256614
"Indian Wells Masters","2015-404:42","Hard","Philipp Kohlschreiber","R",-0.37687543390553,"R64",-0.307604733049913,-0.817776026225951,-1.42143056409035,-1.12427279819819,-0.871727909328779,-1.01118084402257,-1.10932406359224,-1.29042306803749,-1.51494744853844,1,0.656906631916192,0.299832226648624,-0.222445373378561,0.00797656958145975,0.962191445966994,0.159501624316894,0.00138233831264201,-0.483545135321151,-1.04263414237813
"Davis Cup WG R1: GBR vs USA","2015-D002:1","Hard","Andy Murray","R",-0.508489055161455,"RR",0.985778067748443,-0.817776026225951,1.7167634806579,2.93642156757303,1.86366016543616,-0.15432402625597,0.843660695612223,-0.324442697227697,0.105284563518942,1,-0.94111672459254,0.62637999042868,2.07509287339116,2.55383937888713,-0.699350666093768,-1.29693886361463,0.00138233831264201,0.253863273484467,1.73022429156614
"Newport","2015-315:28","Grass","Dustin Brown","R",-0.097196488736689,"QF",-0.307604733049913,-0.00309841889199019,-0.815188532718533,-0.465781819965023,-0.295856735694056,-0.868371374394807,-0.621077873791126,-0.96842961110089,-1.05202401652204,0,-2.40597146805888,0.299832226648624,-0.437839584013222,-0.264794445701291,-0.818032245526679,-0.325978538326946,-1.36160323795238,0.253863273484467,0.343795074594003
"Challenger Tour Finals","2015-6406:15","Clay","Inigo Cervantes Huegun","R",0.00151372720525501,"F",-0.630950433249503,0.811579188441971,-0.422914277125001,-0.246284827220633,-0.367840632398396,-0.15432402625597,-0.621077873791126,-0.324442697227697,-0.357638868497452,1,-1.60695978980451,1.60602328176885,0.854525679794744,0.28074758486421,-1.41144014269124,1.61594211224841,0.00138233831264201,1.23707448522529,1.3836169873231
"Vienna","2015-337:14","Hard","Alexandr Dolgopolov","R",-0.343972028591549,"R32",0.0157409671496757,-0.00309841889199019,0.112005162320724,0.0829606618959527,-0.0799050455810349,-0.15432402625597,0.111291410910548,0.641537673582094,0.799669711543533,0,-1.20745395067733,0.299832226648624,0.423737258525422,0.28074758486421,-0.580669086660856,-0.164151817445666,-1.36160323795238,0.991271682290086,1.03700968308007
"Davis Cup G2 R3: POR vs BLR","2015-D062:4","Clay","Egor Gerasimov","R",1.12022950788062,"RR",1.79414231824742,-0.00309841889199019,0.147666458283772,0.906074384687416,1.07183730168841,-0.72556190476704,0.599537600711665,0.96353113051869,0.105284563518942,1,1.45591831017056,-0.679811064691542,0.495535328736976,1.2809079742343,0.606146707668259,-0.164151817445666,0.00138233831264201,1.7286800910957,1.03700968308007
