"name","player","winner","player_rank","opponent_rank"
"Barclays ATP World Tour Finals","Novak Djokovic",1,1,3
"Barclays ATP World Tour Finals","Novak Djokovic",1,1,5
"Barclays ATP World Tour Finals","Novak Djokovic",1,1,6
"Barclays ATP World Tour Finals","Novak Djokovic",0,1,3
"Barclays ATP World Tour Finals","Novak Djokovic",1,1,8
"ATP World Tour Masters 1000 Paris","Novak Djokovic",1,1,3
"ATP World Tour Masters 1000 Paris","Novak Djokovic",1,1,4
"ATP World Tour Masters 1000 Paris","Novak Djokovic",1,1,5
"ATP World Tour Masters 1000 Paris","Novak Djokovic",1,1,15
"ATP World Tour Masters 1000 Paris","Novak Djokovic",1,1,40
"ATP World Tour Masters 1000 Shanghai","Novak Djokovic",1,1,15
"ATP World Tour Masters 1000 Shanghai","Novak Djokovic",1,1,2
"ATP World Tour Masters 1000 Shanghai","Novak Djokovic",1,1,20
"ATP World Tour Masters 1000 Shanghai","Novak Djokovic",1,1,17
"ATP World Tour Masters 1000 Shanghai","Novak Djokovic",1,1,44
"Beijing","Novak Djokovic",1,1,8
"Beijing","Novak Djokovic",1,1,7
"Beijing","Novak Djokovic",1,1,13
"Beijing","Novak Djokovic",1,1,219
"Beijing","Novak Djokovic",1,1,59
"US Open","Novak Djokovic",1,1,2
"US Open","Novak Djokovic",1,1,9
"US Open","Novak Djokovic",1,1,19
"US Open","Novak Djokovic",1,1,23
"US Open","Novak Djokovic",1,1,25
"US Open","Novak Djokovic",1,1,52
"US Open","Novak Djokovic",1,1,91
"ATP World Tour Masters 1000 Cincinnati","Novak Djokovic",0,1,3
"ATP World Tour Masters 1000 Cincinnati","Novak Djokovic",1,1,66
"ATP World Tour Masters 1000 Cincinnati","Novak Djokovic",1,1,5
"ATP World Tour Masters 1000 Cincinnati","Novak Djokovic",1,1,14
"ATP World Tour Masters 1000 Cincinnati","Novak Djokovic",1,1,42
"ATP World Tour Masters 1000 Canada","Novak Djokovic",0,1,3
"ATP World Tour Masters 1000 Canada","Novak Djokovic",1,1,49
"ATP World Tour Masters 1000 Canada","Novak Djokovic",1,1,87
"ATP World Tour Masters 1000 Canada","Novak Djokovic",1,1,35
"ATP World Tour Masters 1000 Canada","Novak Djokovic",1,1,33
"Wimbledon","Novak Djokovic",1,1,2
"Wimbledon","Novak Djokovic",1,1,20
"Wimbledon","Novak Djokovic",1,1,9
"Wimbledon","Novak Djokovic",1,1,14
"Wimbledon","Novak Djokovic",1,1,26
"Wimbledon","Novak Djokovic",1,1,92
"Wimbledon","Novak Djokovic",1,1,33
"Roland Garros","Novak Djokovic",0,1,9
"Roland Garros","Novak Djokovic",1,1,3
"Roland Garros","Novak Djokovic",1,1,7
"Roland Garros","Novak Djokovic",1,1,21
"Roland Garros","Novak Djokovic",1,1,84
"Roland Garros","Novak Djokovic",1,1,55
"Roland Garros","Novak Djokovic",1,1,87
"ATP World Tour Masters 1000 Rome","Novak Djokovic",1,1,2
"ATP World Tour Masters 1000 Rome","Novak Djokovic",1,1,8
"ATP World Tour Masters 1000 Rome","Novak Djokovic",1,1,6
"ATP World Tour Masters 1000 Rome","Novak Djokovic",1,1,68
"ATP World Tour Masters 1000 Rome","Novak Djokovic",1,1,174
"ATP World Tour Masters 1000 Monte Carlo","Novak Djokovic",1,1,8
"ATP World Tour Masters 1000 Monte Carlo","Novak Djokovic",1,1,5
"ATP World Tour Masters 1000 Monte Carlo","Novak Djokovic",1,1,10
"ATP World Tour Masters 1000 Monte Carlo","Novak Djokovic",1,1,52
"ATP World Tour Masters 1000 Monte Carlo","Novak Djokovic",1,1,67
"ATP World Tour Masters 1000 Miami","Novak Djokovic",1,1,4
"ATP World Tour Masters 1000 Miami","Novak Djokovic",1,1,24
"ATP World Tour Masters 1000 Miami","Novak Djokovic",1,1,7
"ATP World Tour Masters 1000 Miami","Novak Djokovic",1,1,65
"ATP World Tour Masters 1000 Miami","Novak Djokovic",1,1,84
"ATP World Tour Masters 1000 Miami","Novak Djokovic",1,1,41
"ATP World Tour Masters 1000 Indian Wells","Novak Djokovic",1,1,2
"ATP World Tour Masters 1000 Indian Wells","Novak Djokovic",1,1,4
"ATP World Tour Masters 1000 Indian Wells","Novak Djokovic",1,1,35
"ATP World Tour Masters 1000 Indian Wells","Novak Djokovic",1,1,20
"ATP World Tour Masters 1000 Indian Wells","Novak Djokovic",1,1,68
"ATP World Tour Masters 1000 Indian Wells","Novak Djokovic",1,1,61
"SRB vs. CRO WG 1st RD","Novak Djokovic",1,1,158
"Dubai","Novak Djokovic",0,1,2
"Dubai","Novak Djokovic",1,1,8
"Dubai","Novak Djokovic",1,1,104
"Dubai","Novak Djokovic",1,1,107
"Dubai","Novak Djokovic",1,1,63
"Australian Open","Novak Djokovic",1,1,6
"Australian Open","Novak Djokovic",1,1,4
"Australian Open","Novak Djokovic",1,1,8
"Australian Open","Novak Djokovic",1,1,42
"Australian Open","Novak Djokovic",1,1,33
"Australian Open","Novak Djokovic",1,1,88
"Australian Open","Novak Djokovic",1,1,116
"Doha","Novak Djokovic",0,1,27
"Doha","Novak Djokovic",1,1,57
"Doha","Novak Djokovic",1,1,68
"BEL vs.GBR DC Final","Andy Murray",1,2,16
"BEL vs.GBR DC Final","Andy Murray",1,2,108
"Barclays ATP World Tour Finals","Andy Murray",0,2,4
"Barclays ATP World Tour Finals","Andy Murray",0,2,5
"Barclays ATP World Tour Finals","Andy Murray",1,2,7
"ATP World Tour Masters 1000 Paris","Andy Murray",0,3,1
"ATP World Tour Masters 1000 Paris","Andy Murray",1,3,8
"ATP World Tour Masters 1000 Paris","Andy Murray",1,3,9
"ATP World Tour Masters 1000 Paris","Andy Murray",1,3,16
"ATP World Tour Masters 1000 Paris","Andy Murray",1,3,46
"ATP World Tour Masters 1000 Shanghai","Andy Murray",0,2,1
"ATP World Tour Masters 1000 Shanghai","Andy Murray",1,2,5
"ATP World Tour Masters 1000 Shanghai","Andy Murray",1,2,13
"ATP World Tour Masters 1000 Shanghai","Andy Murray",1,2,47
"GBR vs. AUS WG SF","Andy Murray",1,3,23
"GBR vs. AUS WG SF","Andy Murray",1,3,72
"US Open","Andy Murray",0,3,14
"US Open","Andy Murray",1,3,30
"US Open","Andy Murray",1,3,35
"US Open","Andy Murray",1,3,37
"ATP World Tour Masters 1000 Cincinnati","Andy Murray",0,2,3
"ATP World Tour Masters 1000 Cincinnati","Andy Murray",1,2,13
"ATP World Tour Masters 1000 Cincinnati","Andy Murray",1,2,17
"ATP World Tour Masters 1000 Cincinnati","Andy Murray",1,2,1034
"ATP World Tour Masters 1000 Canada","Andy Murray",1,3,1
"ATP World Tour Masters 1000 Canada","Andy Murray",1,3,4
"ATP World Tour Masters 1000 Canada","Andy Murray",1,3,24
"ATP World Tour Masters 1000 Canada","Andy Murray",1,3,46
"ATP World Tour Masters 1000 Canada","Andy Murray",1,3,22
"Washington","Andy Murray",0,3,53
"GBR vs. FRA WG QF","Andy Murray",1,3,11
"GBR vs. FRA WG QF","Andy Murray",1,3,12
"Wimbledon","Andy Murray",0,3,2
"Wimbledon","Andy Murray",1,3,56
"Wimbledon","Andy Murray",1,3,25
"Wimbledon","Andy Murray",1,3,27
"Wimbledon","Andy Murray",1,3,78
"Wimbledon","Andy Murray",1,3,59
"London / Queen's Club","Andy Murray",1,3,17
"London / Queen's Club","Andy Murray",1,3,25
"London / Queen's Club","Andy Murray",1,3,48
"London / Queen's Club","Andy Murray",1,3,42
"London / Queen's Club","Andy Murray",1,3,63
"Roland Garros","Andy Murray",0,3,1
"Roland Garros","Andy Murray",1,3,8
"Roland Garros","Andy Murray",1,3,45
"Roland Garros","Andy Murray",1,3,30
"Roland Garros","Andy Murray",1,3,44
"Roland Garros","Andy Murray",1,3,137
"ATP World Tour Masters 1000 Rome","Andy Murray",0,3,20
"ATP World Tour Masters 1000 Rome","Andy Murray",1,3,38
"ATP World Tour Masters 1000 Madrid","Andy Murray",1,3,4
"ATP World Tour Masters 1000 Madrid","Andy Murray",1,3,5
"ATP World Tour Masters 1000 Madrid","Andy Murray",1,3,6
"ATP World Tour Masters 1000 Madrid","Andy Murray",1,3,62
"ATP World Tour Masters 1000 Madrid","Andy Murray",1,3,24
"Munich","Andy Murray",1,3,26
"Munich","Andy Murray",1,3,16
"Munich","Andy Murray",1,3,41
"Munich","Andy Murray",1,3,653
"ATP World Tour Masters 1000 Miami","Andy Murray",0,4,1
"ATP World Tour Masters 1000 Miami","Andy Murray",1,4,9
"ATP World Tour Masters 1000 Miami","Andy Murray",1,4,52
"ATP World Tour Masters 1000 Miami","Andy Murray",1,4,17
"ATP World Tour Masters 1000 Miami","Andy Murray",1,4,31
"ATP World Tour Masters 1000 Miami","Andy Murray",1,4,44
"ATP World Tour Masters 1000 Indian Wells","Andy Murray",0,4,1
"ATP World Tour Masters 1000 Indian Wells","Andy Murray",1,4,12
"ATP World Tour Masters 1000 Indian Wells","Andy Murray",1,4,38
"ATP World Tour Masters 1000 Indian Wells","Andy Murray",1,4,29
"ATP World Tour Masters 1000 Indian Wells","Andy Murray",1,4,62
"GBR vs. USA WG 1st RD","Andy Murray",1,5,20
"GBR vs. USA WG 1st RD","Andy Murray",1,5,47
"Dubai","Andy Murray",0,3,84
"Dubai","Andy Murray",1,3,50
"Dubai","Andy Murray",1,3,35
"Rotterdam","Andy Murray",0,4,19
"Rotterdam","Andy Murray",1,4,59
"Rotterdam","Andy Murray",1,4,109
"Australian Open","Andy Murray",0,6,1
"Australian Open","Andy Murray",1,6,7
"Australian Open","Andy Murray",1,6,53
"Australian Open","Andy Murray",1,6,11
"Australian Open","Andy Murray",1,6,55
"Australian Open","Andy Murray",1,6,81
"Australian Open","Andy Murray",1,6,317
"Barclays ATP World Tour Finals","Roger Federer",0,3,1
"Barclays ATP World Tour Finals","Roger Federer",1,3,4
"Barclays ATP World Tour Finals","Roger Federer",1,3,8
"Barclays ATP World Tour Finals","Roger Federer",1,3,1
"Barclays ATP World Tour Finals","Roger Federer",1,3,6
"ATP World Tour Masters 1000 Paris","Roger Federer",0,2,13
"ATP World Tour Masters 1000 Paris","Roger Federer",1,2,28
"Basel","Roger Federer",1,3,7
"Basel","Roger Federer",1,3,29
"Basel","Roger Federer",1,3,17
"Basel","Roger Federer",1,3,32
"Basel","Roger Federer",1,3,64
"ATP World Tour Masters 1000 Shanghai","Roger Federer",0,3,70
"SUI vs. NED WG Play-Off","Roger Federer",1,2,144
"SUI vs. NED WG Play-Off","Roger Federer",1,2,436
"US Open","Roger Federer",0,2,1
"US Open","Roger Federer",1,2,5
"US Open","Roger Federer",1,2,12
"US Open","Roger Federer",1,2,13
"US Open","Roger Federer",1,2,29
"US Open","Roger Federer",1,2,66
"US Open","Roger Federer",1,2,34
"ATP World Tour Masters 1000 Cincinnati","Roger Federer",1,3,1
"ATP World Tour Masters 1000 Cincinnati","Roger Federer",1,3,2
"ATP World Tour Masters 1000 Cincinnati","Roger Federer",1,3,23
"ATP World Tour Masters 1000 Cincinnati","Roger Federer",1,3,15
"ATP World Tour Masters 1000 Cincinnati","Roger Federer",1,3,22
"Wimbledon","Roger Federer",0,2,1
"Wimbledon","Roger Federer",1,2,3
"Wimbledon","Roger Federer",1,2,13
"Wimbledon","Roger Federer",1,2,22
"Wimbledon","Roger Federer",1,2,69
"Wimbledon","Roger Federer",1,2,36
"Wimbledon","Roger Federer",1,2,88
"Halle","Roger Federer",1,2,45
"Halle","Roger Federer",1,2,27
"Halle","Roger Federer",1,2,487
"Halle","Roger Federer",1,2,86
"Halle","Roger Federer",1,2,31
"Roland Garros","Roger Federer",0,2,9
"Roland Garros","Roger Federer",1,2,14
"Roland Garros","Roger Federer",1,2,88
"Roland Garros","Roger Federer",1,2,57
"Roland Garros","Roger Federer",1,2,109
"ATP World Tour Masters 1000 Rome","Roger Federer",0,2,1
"ATP World Tour Masters 1000 Rome","Roger Federer",1,2,9
"ATP World Tour Masters 1000 Rome","Roger Federer",1,2,5
"ATP World Tour Masters 1000 Rome","Roger Federer",1,2,16
"ATP World Tour Masters 1000 Rome","Roger Federer",1,2,24
"ATP World Tour Masters 1000 Madrid","Roger Federer",0,2,35
"Istanbul","Roger Federer",1,2,23
"Istanbul","Roger Federer",1,2,63
"Istanbul","Roger Federer",1,2,62
"Istanbul","Roger Federer",1,2,71
"ATP World Tour Masters 1000 Monte Carlo","Roger Federer",0,2,18
"ATP World Tour Masters 1000 Monte Carlo","Roger Federer",1,2,35
"ATP World Tour Masters 1000 Indian Wells","Roger Federer",0,2,1
"ATP World Tour Masters 1000 Indian Wells","Roger Federer",1,2,6
"ATP World Tour Masters 1000 Indian Wells","Roger Federer",1,2,9
"ATP World Tour Masters 1000 Indian Wells","Roger Federer",1,2,58
"ATP World Tour Masters 1000 Indian Wells","Roger Federer",1,2,33
"ATP World Tour Masters 1000 Indian Wells","Roger Federer",1,2,63
"Dubai","Roger Federer",1,2,1
"Dubai","Roger Federer",1,2,84
"Dubai","Roger Federer",1,2,27
"Dubai","Roger Federer",1,2,31
"Dubai","Roger Federer",1,2,55
"Australian Open","Roger Federer",0,2,46
"Australian Open","Roger Federer",1,2,48
"Australian Open","Roger Federer",1,2,47
"Brisbane","Roger Federer",1,2,8
"Brisbane","Roger Federer",1,2,11
"Brisbane","Roger Federer",1,2,125
"Brisbane","Roger Federer",1,2,153
"Barclays ATP World Tour Finals","Stan Wawrinka",0,4,3
"Barclays ATP World Tour Finals","Stan Wawrinka",1,4,2
"Barclays ATP World Tour Finals","Stan Wawrinka",1,4,7
"Barclays ATP World Tour Finals","Stan Wawrinka",0,4,5
"ATP World Tour Masters 1000 Paris","Stan Wawrinka",0,4,1
"ATP World Tour Masters 1000 Paris","Stan Wawrinka",1,4,6
"ATP World Tour Masters 1000 Paris","Stan Wawrinka",1,4,27
"ATP World Tour Masters 1000 Paris","Stan Wawrinka",1,4,18
"Basel","Stan Wawrinka",0,4,23
"ATP World Tour Masters 1000 Shanghai","Stan Wawrinka",0,4,7
"ATP World Tour Masters 1000 Shanghai","Stan Wawrinka",1,4,12
"ATP World Tour Masters 1000 Shanghai","Stan Wawrinka",1,4,24
"Tokyo","Stan Wawrinka",1,4,32
"Tokyo","Stan Wawrinka",1,4,43
"Tokyo","Stan Wawrinka",1,4,124
"Tokyo","Stan Wawrinka",1,4,127
"Tokyo","Stan Wawrinka",1,4,255
"Metz","Stan Wawrinka",0,4,33
"Metz","Stan Wawrinka",1,4,107
"SUI vs. NED WG Play-Off","Stan Wawrinka",1,4,144
"US Open","Stan Wawrinka",0,5,2
"US Open","Stan Wawrinka",1,5,14
"US Open","Stan Wawrinka",1,5,68
"US Open","Stan Wawrinka",1,5,107
"US Open","Stan Wawrinka",1,5,69
"US Open","Stan Wawrinka",1,5,58
"ATP World Tour Masters 1000 Cincinnati","Stan Wawrinka",0,5,1
"ATP World Tour Masters 1000 Cincinnati","Stan Wawrinka",1,5,21
"ATP World Tour Masters 1000 Cincinnati","Stan Wawrinka",1,5,38
"ATP World Tour Masters 1000 Canada","Stan Wawrinka",0,5,41
"Wimbledon","Stan Wawrinka",0,4,20
"Wimbledon","Stan Wawrinka",1,4,15
"Wimbledon","Stan Wawrinka",1,4,43
"Wimbledon","Stan Wawrinka",1,4,48
"Wimbledon","Stan Wawrinka",1,4,46
"London / Queen's Club","Stan Wawrinka",0,4,17
"London / Queen's Club","Stan Wawrinka",1,4,28
"Roland Garros","Stan Wawrinka",1,9,1
"Roland Garros","Stan Wawrinka",1,9,15
"Roland Garros","Stan Wawrinka",1,9,2
"Roland Garros","Stan Wawrinka",1,9,13
"Roland Garros","Stan Wawrinka",1,9,56
"Roland Garros","Stan Wawrinka",1,9,67
"Roland Garros","Stan Wawrinka",1,9,81
"Geneva","Stan Wawrinka",0,9,74
"Geneva","Stan Wawrinka",1,9,40
"ATP World Tour Masters 1000 Rome","Stan Wawrinka",0,9,2
"ATP World Tour Masters 1000 Rome","Stan Wawrinka",1,9,7
"ATP World Tour Masters 1000 Rome","Stan Wawrinka",1,9,49
"ATP World Tour Masters 1000 Rome","Stan Wawrinka",1,9,36
"ATP World Tour Masters 1000 Madrid","Stan Wawrinka",0,9,11
"ATP World Tour Masters 1000 Madrid","Stan Wawrinka",1,9,56
"ATP World Tour Masters 1000 Monte Carlo","Stan Wawrinka",0,9,11
"ATP World Tour Masters 1000 Monte Carlo","Stan Wawrinka",1,9,42
"ATP World Tour Masters 1000 Miami","Stan Wawrinka",0,8,32
"ATP World Tour Masters 1000 Miami","Stan Wawrinka",1,8,68
"ATP World Tour Masters 1000 Indian Wells","Stan Wawrinka",0,7,104
"Marseille","Stan Wawrinka",0,7,59
"Marseille","Stan Wawrinka",1,7,121
"Rotterdam","Stan Wawrinka",1,8,7
"Rotterdam","Stan Wawrinka",1,8,6
"Rotterdam","Stan Wawrinka",1,8,37
"Rotterdam","Stan Wawrinka",1,8,27
"Rotterdam","Stan Wawrinka",1,8,248
"Australian Open","Stan Wawrinka",0,4,1
"Australian Open","Stan Wawrinka",1,4,5
"Australian Open","Stan Wawrinka",1,4,37
"Australian Open","Stan Wawrinka",1,4,72
"Australian Open","Stan Wawrinka",1,4,194
"Australian Open","Stan Wawrinka",1,4,100
"Chennai","Stan Wawrinka",1,4,156
"Chennai","Stan Wawrinka",1,4,22
"Chennai","Stan Wawrinka",1,4,46
"Chennai","Stan Wawrinka",1,4,95
"Barclays ATP World Tour Finals","Rafael Nadal",0,5,1
"Barclays ATP World Tour Finals","Rafael Nadal",1,5,7
"Barclays ATP World Tour Finals","Rafael Nadal",1,5,2
"Barclays ATP World Tour Finals","Rafael Nadal",1,5,4
"ATP World Tour Masters 1000 Paris","Rafael Nadal",0,6,4
"ATP World Tour Masters 1000 Paris","Rafael Nadal",1,6,12
"ATP World Tour Masters 1000 Paris","Rafael Nadal",1,6,66
"Basel","Rafael Nadal",0,7,3
"Basel","Rafael Nadal",1,7,11
"Basel","Rafael Nadal",1,7,13
"Basel","Rafael Nadal",1,7,28
"Basel","Rafael Nadal",1,7,69
"ATP World Tour Masters 1000 Shanghai","Rafael Nadal",0,7,15
"ATP World Tour Masters 1000 Shanghai","Rafael Nadal",1,7,4
"ATP World Tour Masters 1000 Shanghai","Rafael Nadal",1,7,9
"ATP World Tour Masters 1000 Shanghai","Rafael Nadal",1,7,21
"Beijing","Rafael Nadal",0,8,1
"Beijing","Rafael Nadal",1,8,28
"Beijing","Rafael Nadal",1,8,30
"Beijing","Rafael Nadal",1,8,44
"Beijing","Rafael Nadal",1,8,230
"DEN vs. ESP EAGI 1st. Rd. Play-Off","Rafael Nadal",1,7,909
"US Open","Rafael Nadal",0,8,32
"US Open","Rafael Nadal",1,8,74
"US Open","Rafael Nadal",1,8,33
"ATP World Tour Masters 1000 Cincinnati","Rafael Nadal",0,8,23
"ATP World Tour Masters 1000 Cincinnati","Rafael Nadal",1,8,27
"ATP World Tour Masters 1000 Canada","Rafael Nadal",0,9,4
"ATP World Tour Masters 1000 Canada","Rafael Nadal",1,9,107
"ATP World Tour Masters 1000 Canada","Rafael Nadal",1,9,60
"Hamburg","Rafael Nadal",1,10,32
"Hamburg","Rafael Nadal",1,10,26
"Hamburg","Rafael Nadal",1,10,31
"Hamburg","Rafael Nadal",1,10,45
"Hamburg","Rafael Nadal",1,10,41
"Wimbledon","Rafael Nadal",0,10,102
"Wimbledon","Rafael Nadal",1,10,42
"London / Queen's Club","Rafael Nadal",0,10,79
"Stuttgart","Rafael Nadal",1,10,28
"Stuttgart","Rafael Nadal",1,10,16
"Stuttgart","Rafael Nadal",1,10,24
"Stuttgart","Rafael Nadal",1,10,63
"Roland Garros","Rafael Nadal",0,7,1
"Roland Garros","Rafael Nadal",1,7,37
"Roland Garros","Rafael Nadal",1,7,120
"Roland Garros","Rafael Nadal",1,7,154
"Roland Garros","Rafael Nadal",1,7,296
"ATP World Tour Masters 1000 Rome","Rafael Nadal",0,7,9
"ATP World Tour Masters 1000 Rome","Rafael Nadal",1,7,17
"ATP World Tour Masters 1000 Rome","Rafael Nadal",1,7,87
"ATP World Tour Masters 1000 Madrid","Rafael Nadal",0,4,3
"ATP World Tour Masters 1000 Madrid","Rafael Nadal",1,4,7
"ATP World Tour Masters 1000 Madrid","Rafael Nadal",1,4,11
"ATP World Tour Masters 1000 Madrid","Rafael Nadal",1,4,63
"ATP World Tour Masters 1000 Madrid","Rafael Nadal",1,4,54
"Barcelona","Rafael Nadal",0,4,30
"Barcelona","Rafael Nadal",1,4,123
"ATP World Tour Masters 1000 Monte Carlo","Rafael Nadal",0,5,1
"ATP World Tour Masters 1000 Monte Carlo","Rafael Nadal",1,5,7
"ATP World Tour Masters 1000 Monte Carlo","Rafael Nadal",1,5,19
"ATP World Tour Masters 1000 Monte Carlo","Rafael Nadal",1,5,108
"ATP World Tour Masters 1000 Miami","Rafael Nadal",0,3,34
"ATP World Tour Masters 1000 Miami","Rafael Nadal",1,3,74
"ATP World Tour Masters 1000 Indian Wells","Rafael Nadal",0,3,6
"ATP World Tour Masters 1000 Indian Wells","Rafael Nadal",1,3,14
"ATP World Tour Masters 1000 Indian Wells","Rafael Nadal",1,3,47
"ATP World Tour Masters 1000 Indian Wells","Rafael Nadal",1,3,134
"Buenos Aires","Rafael Nadal",1,4,60
"Buenos Aires","Rafael Nadal",1,4,74
"Buenos Aires","Rafael Nadal",1,4,59
"Buenos Aires","Rafael Nadal",1,4,146
"Rio de Janeiro","Rafael Nadal",0,3,28
"Rio de Janeiro","Rafael Nadal",1,3,23
"Rio de Janeiro","Rafael Nadal",1,3,55
"Rio de Janeiro","Rafael Nadal",1,3,64
"Australian Open","Rafael Nadal",0,3,7
"Australian Open","Rafael Nadal",1,3,15
"Australian Open","Rafael Nadal",1,3,106
"Australian Open","Rafael Nadal",1,3,112
"Australian Open","Rafael Nadal",1,3,49
"Doha","Rafael Nadal",0,3,127
"Barclays ATP World Tour Finals","Kei Nishikori",0,8,3
"Barclays ATP World Tour Finals","Kei Nishikori",1,8,6
"Barclays ATP World Tour Finals","Kei Nishikori",0,8,1
"ATP World Tour Masters 1000 Paris","Kei Nishikori",0,7,9
"ATP World Tour Masters 1000 Paris","Kei Nishikori",1,7,32
"ATP World Tour Masters 1000 Shanghai","Kei Nishikori",0,6,10
"ATP World Tour Masters 1000 Shanghai","Kei Nishikori",1,6,32
"Tokyo","Kei Nishikori",0,6,32
"Tokyo","Kei Nishikori",1,6,14
"Tokyo","Kei Nishikori",1,6,50
"Tokyo","Kei Nishikori",1,6,38
"COL vs. JPN WG Play-Off","Kei Nishikori",1,6,59
"COL vs. JPN WG Play-Off","Kei Nishikori",1,6,123
"US Open","Kei Nishikori",0,4,41
"ATP World Tour Masters 1000 Canada","Kei Nishikori",0,4,3
"ATP World Tour Masters 1000 Canada","Kei Nishikori",1,4,9
"ATP World Tour Masters 1000 Canada","Kei Nishikori",1,4,14
"ATP World Tour Masters 1000 Canada","Kei Nishikori",1,4,48
"Washington","Kei Nishikori",1,5,18
"Washington","Kei Nishikori",1,5,8
"Washington","Kei Nishikori",1,5,62
"Washington","Kei Nishikori",1,5,35
"Washington","Kei Nishikori",1,5,95
"Wimbledon","Kei Nishikori",0,5,60
"Wimbledon","Kei Nishikori",1,5,55
"Halle","Kei Nishikori",0,5,45
"Halle","Kei Nishikori",1,5,51
"Halle","Kei Nishikori",1,5,114
"Halle","Kei Nishikori",1,5,29
"Roland Garros","Kei Nishikori",0,5,15
"Roland Garros","Kei Nishikori",1,5,74
"Roland Garros","Kei Nishikori",1,5,48
"Roland Garros","Kei Nishikori",1,5,40
"Roland Garros","Kei Nishikori",1,5,125
"ATP World Tour Masters 1000 Rome","Kei Nishikori",0,6,1
"ATP World Tour Masters 1000 Rome","Kei Nishikori",1,6,34
"ATP World Tour Masters 1000 Rome","Kei Nishikori",1,6,40
"ATP World Tour Masters 1000 Madrid","Kei Nishikori",0,5,3
"ATP World Tour Masters 1000 Madrid","Kei Nishikori",1,5,8
"ATP World Tour Masters 1000 Madrid","Kei Nishikori",1,5,16
"ATP World Tour Masters 1000 Madrid","Kei Nishikori",1,5,21
"Barcelona","Kei Nishikori",1,5,66
"Barcelona","Kei Nishikori",1,5,28
"Barcelona","Kei Nishikori",1,5,16
"Barcelona","Kei Nishikori",1,5,31
"Barcelona","Kei Nishikori",1,5,85
"ATP World Tour Masters 1000 Miami","Kei Nishikori",0,5,24
"ATP World Tour Masters 1000 Miami","Kei Nishikori",1,5,20
"ATP World Tour Masters 1000 Miami","Kei Nishikori",1,5,39
"ATP World Tour Masters 1000 Miami","Kei Nishikori",1,5,64
"ATP World Tour Masters 1000 Indian Wells","Kei Nishikori",0,5,12
"ATP World Tour Masters 1000 Indian Wells","Kei Nishikori",1,5,31
"ATP World Tour Masters 1000 Indian Wells","Kei Nishikori",1,5,110
"CAN vs. JPN WG 1st RD","Kei Nishikori",1,4,6
"CAN vs. JPN WG 1st RD","Kei Nishikori",1,4,62
"Acapulco","Kei Nishikori",0,5,9
"Acapulco","Kei Nishikori",1,5,15
"Acapulco","Kei Nishikori",1,5,33
"Acapulco","Kei Nishikori",1,5,61
"Acapulco","Kei Nishikori",1,5,92
"Memphis","Kei Nishikori",1,5,15
"Memphis","Kei Nishikori",1,5,41
"Memphis","Kei Nishikori",1,5,156
"Memphis","Kei Nishikori",1,5,165
"Australian Open","Kei Nishikori",0,5,4
"Australian Open","Kei Nishikori",1,5,10
"Australian Open","Kei Nishikori",1,5,38
"Australian Open","Kei Nishikori",1,5,86
"Australian Open","Kei Nishikori",1,5,69
"Brisbane","Kei Nishikori",0,5,8
"Brisbane","Kei Nishikori",1,5,53
"Brisbane","Kei Nishikori",1,5,37
"Barclays ATP World Tour Finals","Tomas Berdych",0,6,1
"Barclays ATP World Tour Finals","Tomas Berdych",0,6,8
"Barclays ATP World Tour Finals","Tomas Berdych",0,6,3
"ATP World Tour Masters 1000 Paris","Tomas Berdych",0,5,1
"ATP World Tour Masters 1000 Paris","Tomas Berdych",1,5,10
"ATP World Tour Masters 1000 Paris","Tomas Berdych",1,5,149
"Stockholm","Tomas Berdych",1,5,32
"Stockholm","Tomas Berdych",1,5,46
"Stockholm","Tomas Berdych",1,5,26
"Stockholm","Tomas Berdych",1,5,83
"ATP World Tour Masters 1000 Shanghai","Tomas Berdych",0,5,2
"ATP World Tour Masters 1000 Shanghai","Tomas Berdych",1,5,14
"ATP World Tour Masters 1000 Shanghai","Tomas Berdych",1,5,33
"Beijing","Tomas Berdych",0,5,37
"Shenzhen","Tomas Berdych",1,5,29
"Shenzhen","Tomas Berdych",1,5,30
"Shenzhen","Tomas Berdych",1,5,40
"Shenzhen","Tomas Berdych",1,5,128
"St. Petersburg","Tomas Berdych",0,5,63
"US Open","Tomas Berdych",0,6,12
"US Open","Tomas Berdych",1,6,31
"US Open","Tomas Berdych",1,6,132
"US Open","Tomas Berdych",1,6,113
"ATP World Tour Masters 1000 Cincinnati","Tomas Berdych",0,6,66
"ATP World Tour Masters 1000 Cincinnati","Tomas Berdych",1,6,26
"ATP World Tour Masters 1000 Cincinnati","Tomas Berdych",1,6,33
"ATP World Tour Masters 1000 Canada","Tomas Berdych",0,6,79
"Wimbledon","Tomas Berdych",0,6,13
"Wimbledon","Tomas Berdych",1,6,37
"Wimbledon","Tomas Berdych",1,6,66
"Wimbledon","Tomas Berdych",1,6,38
"Halle","Tomas Berdych",0,6,27
"Halle","Tomas Berdych",1,6,41
"Halle","Tomas Berdych",1,6,49
"Roland Garros","Tomas Berdych",0,4,15
"Roland Garros","Tomas Berdych",1,4,71
"Roland Garros","Tomas Berdych",1,4,129
"Roland Garros","Tomas Berdych",1,4,146
"ATP World Tour Masters 1000 Rome","Tomas Berdych",0,5,2
"ATP World Tour Masters 1000 Rome","Tomas Berdych",1,5,31
