"name","location","start_date","end_date","draw","matches","surface","prize","score","round","winner","player","player_rank","opponent","opponent_rank","player1","player2","player3","player4","player5","opponent1","opponent2","opponent3","opponent4","opponent5","TBplayer1","TBplayer2","TBplayer3","TBplayer4","TBplayer5","TBopponent1","TBopponent2","TBopponent3","TBopponent4","TBopponent5"
"Barcelona","Barcelona, Spain",2015-04-20,2015-04-26,48,47,"Outdoor Clay","€2265235","46/67(6)","Round of 16",0,"Rafael Nadal",4,"Fabio Fognini",30,4,6,NA,NA,NA,6,7,NA,NA,NA,NA,6,NA,NA,NA,NA,8,NA,NA,NA
"Barcelona","Barcelona, Spain",2015-04-20,2015-04-26,48,47,"Outdoor Clay","€2265235","63/61","Round of 32",1,"Rafael Nadal",4,"Nicolas Almagro",123,6,6,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Monte Carlo","Monte-Carlo, Monaco",2015-04-13,2015-04-19,56,55,"Outdoor Clay","€3624045","36/36","Semi-Finals",0,"Rafael Nadal",5,"Novak Djokovic",1,3,3,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Monte Carlo","Monte-Carlo, Monaco",2015-04-13,2015-04-19,56,55,"Outdoor Clay","€3624045","64/57/62","Quarter-Finals",1,"Rafael Nadal",5,"David Ferrer",7,6,5,6,NA,NA,4,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Monte Carlo","Monte-Carlo, Monaco",2015-04-13,2015-04-19,56,55,"Outdoor Clay","€3624045","76(6)/46/63","Round of 16",1,"Rafael Nadal",5,"John Isner",19,7,4,6,NA,NA,6,6,3,NA,NA,8,NA,NA,NA,NA,6,NA,NA,NA,NA
"ATP World Tour Masters 1000 Monte Carlo","Monte-Carlo, Monaco",2015-04-13,2015-04-19,56,55,"Outdoor Clay","€3624045","62/61","Round of 32",1,"Rafael Nadal",5,"Lucas Pouille",108,6,6,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Miami","Miami, FL, U.S.A.",2015-03-23,2015-04-05,96,95,"Outdoor Hard","$6267755","46/62/36","Round of 32",0,"Rafael Nadal",3,"Fernando Verdasco",34,4,6,3,NA,NA,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Miami","Miami, FL, U.S.A.",2015-03-23,2015-04-05,96,95,"Outdoor Hard","$6267755","64/62","Round of 64",1,"Rafael Nadal",3,"Nicolas Almagro",74,6,6,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.",2015-03-09,2015-03-22,96,95,"Outdoor Hard","$7107445","64/67(10)/57","Quarter-Finals",0,"Rafael Nadal",3,"Milos Raonic",6,6,6,5,NA,NA,4,7,7,NA,NA,NA,10,NA,NA,NA,NA,12,NA,NA,NA
"ATP World Tour Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.",2015-03-09,2015-03-22,96,95,"Outdoor Hard","$7107445","62/64","Round of 16",1,"Rafael Nadal",3,"Gilles Simon",14,6,6,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.",2015-03-09,2015-03-22,96,95,"Outdoor Hard","$7107445","64/62","Round of 32",1,"Rafael Nadal",3,"Donald Young",47,6,6,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.",2015-03-09,2015-03-22,96,95,"Outdoor Hard","$7107445","64/62","Round of 64",1,"Rafael Nadal",3,"Igor Sijsling",134,6,6,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buenos Aires","Buenos Aires, Argentina",2015-02-23,2015-03-01,28,27,"Outdoor Clay","$573750","64/61","Finals",1,"Rafael Nadal",4,"Juan Monaco",60,6,6,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buenos Aires","Buenos Aires, Argentina",2015-02-23,2015-03-01,28,27,"Outdoor Clay","$573750","76(7)/62","Semi-Finals",1,"Rafael Nadal",4,"Carlos Berlocq",74,7,6,NA,NA,NA,6,2,NA,NA,NA,9,NA,NA,NA,NA,7,NA,NA,NA,NA
"Buenos Aires","Buenos Aires, Argentina",2015-02-23,2015-03-01,28,27,"Outdoor Clay","$573750","61/61","Quarter-Finals",1,"Rafael Nadal",4,"Federico Delbonis",59,6,6,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buenos Aires","Buenos Aires, Argentina",2015-02-23,2015-03-01,28,27,"Outdoor Clay","$573750","64/60","Round of 16",1,"Rafael Nadal",4,"Facundo Arguello",146,6,6,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rio de Janeiro","Rio de Janeiro, Brazil",2015-02-16,2015-02-22,32,31,"Outdoor Clay","$1548755","61/26/57","Semi-Finals",0,"Rafael Nadal",3,"Fabio Fognini",28,6,2,5,NA,NA,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rio de Janeiro","Rio de Janeiro, Brazil",2015-02-16,2015-02-22,32,31,"Outdoor Clay","$1548755","46/75/60","Quarter-Finals",1,"Rafael Nadal",3,"Pablo Cuevas",23,4,7,6,NA,NA,6,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rio de Janeiro","Rio de Janeiro, Brazil",2015-02-16,2015-02-22,32,31,"Outdoor Clay","$1548755","75/63","Round of 16",1,"Rafael Nadal",3,"Pablo Carreno Busta",55,7,6,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rio de Janeiro","Rio de Janeiro, Brazil",2015-02-16,2015-02-22,32,31,"Outdoor Clay","$1548755","64/61","Round of 32",1,"Rafael Nadal",3,"Thomaz Bellucci",64,6,6,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australian Open","Melbourne, Australia",2015-01-19,2015-02-01,128,127,"Outdoor Hard","A$17748600","26/06/67(5)","Quarter-Finals",0,"Rafael Nadal",3,"Tomas Berdych",7,2,0,6,NA,NA,6,6,7,NA,NA,NA,NA,5,NA,NA,NA,NA,7,NA,NA
"Australian Open","Melbourne, Australia",2015-01-19,2015-02-01,128,127,"Outdoor Hard","A$17748600","75/61/64","Round of 16",1,"Rafael Nadal",3,"Kevin Anderson",15,7,6,6,NA,NA,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australian Open","Melbourne, Australia",2015-01-19,2015-02-01,128,127,"Outdoor Hard","A$17748600","61/60/75","Round of 32",1,"Rafael Nadal",3,"Dudi Sela",106,6,6,7,NA,NA,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australian Open","Melbourne, Australia",2015-01-19,2015-02-01,128,127,"Outdoor Hard","A$17748600","62/36/67(2)/63/75","Round of 64",1,"Rafael Nadal",3,"Tim Smyczek",112,6,3,6,6,7,2,6,7,3,5,NA,NA,2,NA,NA,NA,NA,7,NA,NA
"Australian Open","Melbourne, Australia",2015-01-19,2015-02-01,128,127,"Outdoor Hard","A$17748600","63/62/62","Round of 128",1,"Rafael Nadal",3,"Mikhail Youzhny",49,6,6,6,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Doha","Doha, Qatar",2015-01-05,2015-01-10,32,31,"Outdoor Hard","$1221320","61/36/46","Round of 32",0,"Rafael Nadal",3,"Michael Berrer",127,6,3,4,NA,NA,1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barclays ATP World Tour Finals","London, Great Britain",2015-11-16,2015-11-22,8,7,"Indoor Hard","$7000000","57/64/46","Round Robin",0,"Kei Nishikori",8,"Roger Federer",3,5,6,4,NA,NA,7,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barclays ATP World Tour Finals","London, Great Britain",2015-11-16,2015-11-22,8,7,"Indoor Hard","$7000000","75/36/63","Round Robin",1,"Kei Nishikori",8,"Tomas Berdych",6,7,3,6,NA,NA,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barclays ATP World Tour Finals","London, Great Britain",2015-11-16,2015-11-22,8,7,"Indoor Hard","$7000000","16/16","Round Robin",0,"Kei Nishikori",8,"Novak Djokovic",1,1,1,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Paris","Paris, France",2015-11-02,2015-11-08,48,47,"Indoor Hard","€3830295","67(3)/14/(RET)","Round of 16",0,"Kei Nishikori",7,"Richard Gasquet",9,6,1,NA,NA,NA,7,4,NA,NA,NA,3,NA,NA,NA,NA,7,NA,NA,NA,NA
"ATP World Tour Masters 1000 Paris","Paris, France",2015-11-02,2015-11-08,48,47,"Indoor Hard","€3830295","76(4)/67(6)/61","Round of 32",1,"Kei Nishikori",7,"Jeremy Chardy",32,7,6,6,NA,NA,6,7,1,NA,NA,7,6,NA,NA,NA,4,8,NA,NA,NA
"ATP World Tour Masters 1000 Shanghai","Shanghai, China",2015-10-12,2015-10-18,56,55,"Outdoor Hard","$7021335","67(10)/67(3)","Round of 16",0,"Kei Nishikori",6,"Kevin Anderson",10,6,6,NA,NA,NA,7,7,NA,NA,NA,10,3,NA,NA,NA,12,7,NA,NA,NA
"ATP World Tour Masters 1000 Shanghai","Shanghai, China",2015-10-12,2015-10-18,56,55,"Outdoor Hard","$7021335","16/64/64","Round of 32",1,"Kei Nishikori",6,"Nick Kyrgios",32,1,6,6,NA,NA,6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tokyo","Tokyo, Japan",2015-10-05,2015-10-11,32,31,"Outdoor Hard","$1397250","61/46/26","Semi-Finals",0,"Kei Nishikori",6,"Benoit Paire",32,6,4,2,NA,NA,1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tokyo","Tokyo, Japan",2015-10-05,2015-10-11,32,31,"Outdoor Hard","$1397250","36/75/63","Quarter-Finals",1,"Kei Nishikori",6,"Marin Cilic",14,3,7,6,NA,NA,6,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tokyo","Tokyo, Japan",2015-10-05,2015-10-11,32,31,"Outdoor Hard","$1397250","76(3)/63","Round of 16",1,"Kei Nishikori",6,"Sam Querrey",50,7,6,NA,NA,NA,6,3,NA,NA,NA,7,NA,NA,NA,NA,3,NA,NA,NA,NA
"Tokyo","Tokyo, Japan",2015-10-05,2015-10-11,32,31,"Outdoor Hard","$1397250","26/61/62","Round of 32",1,"Kei Nishikori",6,"Borna Coric",38,2,6,6,NA,NA,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COL vs. JPN WG Play-Off","Pereira, Columbia, Colombia",2015-09-14,2015-09-20,4,3,"Outdoor Clay",NA,"64/62/76(3)","Round Robin",1,"Kei Nishikori",6,"Santiago Giraldo",59,6,6,7,NA,NA,4,2,6,NA,NA,NA,NA,7,NA,NA,NA,NA,3,NA,NA
"COL vs. JPN WG Play-Off","Pereira, Columbia, Colombia",2015-09-14,2015-09-20,4,3,"Outdoor Clay",NA,"76(3)/76(1)/75","Round Robin",1,"Kei Nishikori",6,"Alejandro Falla",123,7,7,7,NA,NA,6,6,5,NA,NA,7,7,NA,NA,NA,3,1,NA,NA,NA
"US Open","New York, NY, U.S.A.",2015-08-31,2015-09-13,128,127,"Outdoor Hard","$19852700","46/63/64/67(6)/46","Round of 128",0,"Kei Nishikori",4,"Benoit Paire",41,4,6,6,6,4,6,3,4,7,6,NA,NA,NA,6,NA,NA,NA,NA,8,NA
"ATP World Tour Masters 1000 Canada","Montreal, Canada",2015-08-10,2015-08-16,56,55,"Outdoor Hard","$4178500","36/06","Semi-Finals",0,"Kei Nishikori",4,"Andy Murray",3,3,0,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Canada","Montreal, Canada",2015-08-10,2015-08-16,56,55,"Outdoor Hard","$4178500","62/64","Quarter-Finals",1,"Kei Nishikori",4,"Rafael Nadal",9,6,6,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Canada","Montreal, Canada",2015-08-10,2015-08-16,56,55,"Outdoor Hard","$4178500","64/64","Round of 16",1,"Kei Nishikori",4,"David Goffin",14,6,6,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Canada","Montreal, Canada",2015-08-10,2015-08-16,56,55,"Outdoor Hard","$4178500","63/63","Round of 32",1,"Kei Nishikori",4,"Pablo Andujar",48,6,6,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington","Washington, DC, U.S.A.",2015-08-03,2015-08-09,48,47,"Outdoor Hard","$1753020","46/64/64","Finals",1,"Kei Nishikori",5,"John Isner",18,4,6,6,NA,NA,6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington","Washington, DC, U.S.A.",2015-08-03,2015-08-09,48,47,"Outdoor Hard","$1753020","36/61/64","Semi-Finals",1,"Kei Nishikori",5,"Marin Cilic",8,3,6,6,NA,NA,6,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington","Washington, DC, U.S.A.",2015-08-03,2015-08-09,48,47,"Outdoor Hard","$1753020","64/64","Quarter-Finals",1,"Kei Nishikori",5,"Sam Groth",62,6,6,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington","Washington, DC, U.S.A.",2015-08-03,2015-08-09,48,47,"Outdoor Hard","$1753020","64/64","Round of 16",1,"Kei Nishikori",5,"Leonardo Mayer",35,6,6,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington","Washington, DC, U.S.A.",2015-08-03,2015-08-09,48,47,"Outdoor Hard","$1753020","67(8)/61/64","Round of 32",1,"Kei Nishikori",5,"James Duckworth",95,6,6,6,NA,NA,7,1,4,NA,NA,8,NA,NA,NA,NA,10,NA,NA,NA,NA
"Wimbledon","London, Great Britain",2015-06-29,2015-07-12,128,127,"Outdoor Grass","L12568000","W/O","Round of 64",0,"Kei Nishikori",5,"Santiago Giraldo",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wimbledon","London, Great Britain",2015-06-29,2015-07-12,128,127,"Outdoor Grass","L12568000","63/67(4)/62/36/63","Round of 128",1,"Kei Nishikori",5,"Simone Bolelli",55,6,6,6,3,6,3,7,2,6,3,NA,4,NA,NA,NA,NA,7,NA,NA,NA
"Halle","Halle, Germany",2015-06-15,2015-06-21,32,31,"Outdoor Grass","€1696645","14/(RET)","Semi-Finals",0,"Kei Nishikori",5,"Andreas Seppi",45,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Halle","Halle, Germany",2015-06-15,2015-06-21,32,31,"Outdoor Grass","€1696645","64/57/63","Quarter-Finals",1,"Kei Nishikori",5,"Jerzy Janowicz",51,6,5,6,NA,NA,4,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Halle","Halle, Germany",2015-06-15,2015-06-21,32,31,"Outdoor Grass","€1696645","75/61","Round of 16",1,"Kei Nishikori",5,"Dustin Brown",114,7,6,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Halle","Halle, Germany",2015-06-15,2015-06-21,32,31,"Outdoor Grass","€1696645","76(4)/75","Round of 32",1,"Kei Nishikori",5,"Dominic Thiem",29,7,7,NA,NA,NA,6,5,NA,NA,NA,7,NA,NA,NA,NA,4,NA,NA,NA,NA
"Roland Garros","Paris, France",2015-05-25,2015-06-07,128,127,"Outdoor Clay","€13008000","16/46/64/63/36","Quarter-Finals",0,"Kei Nishikori",5,"Jo-Wilfried Tsonga",15,1,4,6,6,3,6,6,4,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roland Garros","Paris, France",2015-05-25,2015-06-07,128,127,"Outdoor Clay","€13008000","63/64/62","Round of 16",1,"Kei Nishikori",5,"Teymuraz Gabashvili",74,6,6,6,NA,NA,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roland Garros","Paris, France",2015-05-25,2015-06-07,128,127,"Outdoor Clay","€13008000","W/O","Round of 32",1,"Kei Nishikori",5,"Benjamin Becker",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roland Garros","Paris, France",2015-05-25,2015-06-07,128,127,"Outdoor Clay","€13008000","75/64/64","Round of 64",1,"Kei Nishikori",5,"Thomaz Bellucci",40,7,6,6,NA,NA,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roland Garros","Paris, France",2015-05-25,2015-06-07,128,127,"Outdoor Clay","€13008000","63/75/61","Round of 128",1,"Kei Nishikori",5,"Paul-Henri Mathieu",125,6,7,6,NA,NA,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Rome","Rome, Italy",2015-05-11,2015-05-17,56,55,"Outdoor Clay","€3830295","36/63/16","Quarter-Finals",0,"Kei Nishikori",6,"Novak Djokovic",1,3,6,1,NA,NA,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Rome","Rome, Italy",2015-05-11,2015-05-17,56,55,"Outdoor Clay","€3830295","64/63","Round of 16",1,"Kei Nishikori",6,"Viktor Troicki",34,6,6,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Rome","Rome, Italy",2015-05-11,2015-05-17,56,55,"Outdoor Clay","€3830295","76(3)/75","Round of 32",1,"Kei Nishikori",6,"Jiri Vesely",40,7,7,NA,NA,NA,6,5,NA,NA,NA,7,NA,NA,NA,NA,3,NA,NA,NA,NA
"ATP World Tour Masters 1000 Madrid","Madrid, Spain",2015-05-04,2015-05-10,56,55,"Outdoor Clay","€5113730","36/46","Semi-Finals",0,"Kei Nishikori",5,"Andy Murray",3,3,4,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Madrid","Madrid, Spain",2015-05-04,2015-05-10,56,55,"Outdoor Clay","€5113730","64/62","Quarter-Finals",1,"Kei Nishikori",5,"David Ferrer",8,6,6,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Madrid","Madrid, Spain",2015-05-04,2015-05-10,56,55,"Outdoor Clay","€5113730","63/63","Round of 16",1,"Kei Nishikori",5,"Roberto Bautista Agut",16,6,6,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Madrid","Madrid, Spain",2015-05-04,2015-05-10,56,55,"Outdoor Clay","€5113730","62/46/64","Round of 32",1,"Kei Nishikori",5,"David Goffin",21,6,4,6,NA,NA,2,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barcelona","Barcelona, Spain",2015-04-20,2015-04-26,48,47,"Outdoor Clay","€2265235","64/64","Finals",1,"Kei Nishikori",5,"Pablo Andujar",66,6,6,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barcelona","Barcelona, Spain",2015-04-20,2015-04-26,48,47,"Outdoor Clay","€2265235","61/62","Semi-Finals",1,"Kei Nishikori",5,"Martin Klizan",28,6,6,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barcelona","Barcelona, Spain",2015-04-20,2015-04-26,48,47,"Outdoor Clay","€2265235","62/36/61","Quarter-Finals",1,"Kei Nishikori",5,"Roberto Bautista Agut",16,6,3,6,NA,NA,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barcelona","Barcelona, Spain",2015-04-20,2015-04-26,48,47,"Outdoor Clay","€2265235","62/61","Round of 16",1,"Kei Nishikori",5,"Santiago Giraldo",31,6,6,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barcelona","Barcelona, Spain",2015-04-20,2015-04-26,48,47,"Outdoor Clay","€2265235","63/64","Round of 32",1,"Kei Nishikori",5,"Teymuraz Gabashvili",85,6,6,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Miami","Miami, FL, U.S.A.",2015-03-23,2015-04-05,96,95,"Outdoor Hard","$6267755","46/36","Quarter-Finals",0,"Kei Nishikori",5,"John Isner",24,4,3,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Miami","Miami, FL, U.S.A.",2015-03-23,2015-04-05,96,95,"Outdoor Hard","$6267755","61/62","Round of 16",1,"Kei Nishikori",5,"David Goffin",20,6,6,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Miami","Miami, FL, U.S.A.",2015-03-23,2015-04-05,96,95,"Outdoor Hard","$6267755","62/62","Round of 32",1,"Kei Nishikori",5,"Viktor Troicki",39,6,6,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Miami","Miami, FL, U.S.A.",2015-03-23,2015-04-05,96,95,"Outdoor Hard","$6267755","62/61","Round of 64",1,"Kei Nishikori",5,"Mikhail Youzhny",64,6,6,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.",2015-03-09,2015-03-22,96,95,"Outdoor Hard","$7107445","46/67(2)","Round of 16",0,"Kei Nishikori",5,"Feliciano Lopez",12,4,6,NA,NA,NA,6,7,NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,NA
"ATP World Tour Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.",2015-03-09,2015-03-22,96,95,"Outdoor Hard","$7107445","67(6)/61/64","Round of 32",1,"Kei Nishikori",5,"Fernando Verdasco",31,6,6,6,NA,NA,7,1,4,NA,NA,6,NA,NA,NA,NA,8,NA,NA,NA,NA
"ATP World Tour Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.",2015-03-09,2015-03-22,96,95,"Outdoor Hard","$7107445","64/64","Round of 64",1,"Kei Nishikori",5,"Ryan Harrison",110,6,6,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAN vs. JPN WG 1st RD","Vancouver, Canada, Canada",2015-03-02,2015-03-08,4,3,"Indoor Hard",NA,"36/63/64/26/64","Round Robin",1,"Kei Nishikori",4,"Milos Raonic",6,3,6,6,2,6,6,3,4,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAN vs. JPN WG 1st RD","Vancouver, Canada, Canada",2015-03-02,2015-03-08,4,3,"Indoor Hard",NA,"64/76(5)/63","Round Robin",1,"Kei Nishikori",4,"Vasek Pospisil",62,6,7,6,NA,NA,4,6,3,NA,NA,NA,7,NA,NA,NA,NA,5,NA,NA,NA
"Acapulco","Acapulco, Mexico",2015-02-23,2015-02-28,32,31,"Outdoor Hard","$1548755","36/57","Finals",0,"Kei Nishikori",5,"David Ferrer",9,3,5,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acapulco","Acapulco, Mexico",2015-02-23,2015-02-28,32,31,"Outdoor Hard","$1548755","62/36/63","Semi-Finals",1,"Kei Nishikori",5,"Kevin Anderson",15,6,3,6,NA,NA,2,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acapulco","Acapulco, Mexico",2015-02-23,2015-02-28,32,31,"Outdoor Hard","$1548755","64/64","Quarter-Finals",1,"Kei Nishikori",5,"Alexandr Dolgopolov",33,6,6,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acapulco","Acapulco, Mexico",2015-02-23,2015-02-28,32,31,"Outdoor Hard","$1548755","61/63","Round of 16",1,"Kei Nishikori",5,"Yen-Hsun Lu",61,6,6,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acapulco","Acapulco, Mexico",2015-02-23,2015-02-28,32,31,"Outdoor Hard","$1548755","63/75","Round of 32",1,"Kei Nishikori",5,"Alejandro Gonzalez",92,6,7,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Memphis","Memphis, TN, U.S.A.",2015-02-09,2015-02-15,28,27,"Indoor Hard","$659070","64/64","Finals",1,"Kei Nishikori",5,"Kevin Anderson",15,6,6,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Memphis","Memphis, TN, U.S.A.",2015-02-09,2015-02-15,28,27,"Indoor Hard","$659070","57/76(5)/76(5)","Semi-Finals",1,"Kei Nishikori",5,"Sam Querrey",41,5,7,7,NA,NA,7,6,6,NA,NA,NA,7,7,NA,NA,NA,5,5,NA,NA
"Memphis","Memphis, TN, U.S.A.",2015-02-09,2015-02-15,28,27,"Indoor Hard","$659070","46/63/64","Quarter-Finals",1,"Kei Nishikori",5,"Austin Krajicek",156,4,6,6,NA,NA,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Memphis","Memphis, TN, U.S.A.",2015-02-09,2015-02-15,28,27,"Indoor Hard","$659070","36/63/64","Round of 16",1,"Kei Nishikori",5,"Ryan Harrison",165,3,6,6,NA,NA,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australian Open","Melbourne, Australia",2015-01-19,2015-02-01,128,127,"Outdoor Hard","A$17748600","36/46/67(6)","Quarter-Finals",0,"Kei Nishikori",5,"Stan Wawrinka",4,3,4,6,NA,NA,6,6,7,NA,NA,NA,NA,6,NA,NA,NA,NA,8,NA,NA
"Australian Open","Melbourne, Australia",2015-01-19,2015-02-01,128,127,"Outdoor Hard","A$17748600","63/63/63","Round of 16",1,"Kei Nishikori",5,"David Ferrer",10,6,6,6,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
