"name","location","start_date","end_date","draw","matches","surface","prize","tier"
"Winston-Salem Open","Winston-Salem, NC, U.S.A.",2016-08-21,2016-08-27,48,47,"Outdoor Hard","$720940","250"
"US Open","New York, NY, U.S.A.",2016-08-29,2016-09-11,128,127,"Outdoor Hard","$21862744","Grand Slam"
"Davis Cup Semi-Finals","Multiple Locations",2016-09-16,2016-09-18,4,3,"Outdoor",NA,"itf"
"St. Petersburg Open","St. Petersburg, Russia",2016-09-19,2016-09-25,28,27,"Indoor Hard","$986380","250"
"Moselle Open","Metz, France",2016-09-19,2016-09-25,28,27,"Indoor Hard","€520070","250"
"Chengdu Open","Chengdu, China",2016-09-26,2016-10-02,28,27,"Outdoor Hard","$947735","250"
"Malaysian Open, Kuala Lumpur","Kuala Lumpur, CANCELLED",2016-09-26,2016-10-02,28,27,"Indoor Hard","$951235","250"
"Shenzhen Open","Shenzhen, China",2016-09-26,2016-10-02,28,27,"Outdoor Hard","$704140","250"
"Rakuten Japan Open Tennis Championships 2016","Tokyo, Japan",2016-10-03,2016-10-09,32,31,"Outdoor Hard","$1506835","500"
"China Open","Beijing, China",2016-10-03,2016-10-09,32,31,"Outdoor Hard","$4164780","500"
"Shanghai Rolex Masters","Shanghai, China",2016-10-09,2016-10-16,56,55,"Outdoor Hard","$7655640","1000"
"If Stockholm Open","Stockholm, Sweden",2016-10-17,2016-10-23,28,27,"Indoor Hard","€635645","250"
"VTB Kremlin Cup","Moscow, Russia",2016-10-17,2016-10-23,28,27,"Indoor Hard","$792645","250"
"European Open","Antwerp, Belgium",2016-10-17,2016-10-23,28,27,"Indoor Hard","€635645","250"
"Swiss Indoors Basel","Basel, Switzerland",2016-10-24,2016-10-30,32,31,"Indoor Hard","€2151985","500"
"Erste Bank Open 500","Vienna, Austria",2016-10-24,2016-10-30,32,31,"Indoor Hard","€2467310","500"
"BNP Paribas Masters","Paris, France",2016-10-31,2016-11-06,48,47,"Indoor Hard","€4300755","1000"
"Barclays ATP World Tour Finals","London, Great Britain",2016-11-13,2016-11-20,8,7,"Indoor Hard","$7500000","Tour Finals"
"Davis Cup Final","Multiple Locations",2016-11-25,2016-11-27,4,3,"Outdoor",NA,"itf"
